Archivo,Tamaño,Encr DES,Desencr DES,Encr RSA 1024,Desencr RSA 1024,Encr RSA 2048,Desencr RSA 2048
10MB_MP4.mp4,10486584,925956700,771153400,1580842300,17182212500,1818410600,47361726300
1MB_MP4.mp4,1053887,75977000,95328900,157273700,1758132100,185891600,4722030300
